max_depth,n_estimators,learning_rate,avg_brier,avg_auc,n_folds
1,600,0.03,0.20864681324855416,0.7339576360718786,5
3,300,0.03,0.20868299990081524,0.7337524960072714,5
1,300,0.1,0.20874204644710312,0.7335812783410913,5
1,300,0.03,0.20889425936649605,0.733693402740396,5
1,600,0.1,0.20894562531155403,0.7329661438435355,5
3,600,0.03,0.20907343752856788,0.7324826213609552,5
5,300,0.03,0.20927595458837747,0.7318350023366322,5
3,300,0.1,0.20966473266167732,0.7306235439317524,5
7,300,0.03,0.21016561220718297,0.7292176721592899,5
5,600,0.03,0.2102112596353885,0.7290307681524342,5
3,600,0.1,0.21085323295232902,0.7270705290746851,5
5,300,0.1,0.2115759661813414,0.7249968643351928,5
7,600,0.03,0.2117233518168907,0.7246480563265345,5
7,300,0.1,0.21392399233667528,0.7183032110079343,5
5,600,0.1,0.21412770540939138,0.7175115079194875,5
7,600,0.1,0.21730722536577854,0.7088257986630607,5
